년월,1처리장평균유입량,2처리장평균유입량,3A처리장평균유입량,3B처리장평균유입량,4A처리장평균유입량,4B처리장평균유입량,하수처리장평균유입량,"1,2처리장평균방류량",3처리장평균방류량,4처리장평균방류량,하수처리장평균방류량
2018-10,121389,123781,94867,95096,97688,96328,629149,234856,195018,196328,626201
2018-11,106421,113333,97176,76698,94146,94279,582054,216468,174569,187822,578859
2018-12,95036,98833,94791,69821,98769,100491,557741,190689,160465,200398,551553
2019-01,113938,115910,73505,64557,90312,91986,550207,223899,137864,179843,541606
2019-02,119160,130732,76372,64832,91809,93147,576052,247160,141161,187219,575541
2019-03,124889,147385,75297,64040,85649,86680,583941,272558,140143,169461,582162
2019-04,112912,133258,80153,66079,102496,104719,599617,244665,143908,206704,595277
2019-05,123915,154130,65650,53249,108090,121805,626840,280872,122051,221384,624308
2019-06,137690,146822,76012,58058,109419,121501,649501,285092,139006,224267,648365
2019-07,133071,131800,102844,81047,124387,124955,698103,266494,188174,246829,701497
2019-08,111314,124735,104744,86242,118837,120416,666287,236282,194338,239806,670426
2019-09,115236,133240,108368,94206,117544,117365,685959,247045,200495,229443,676983
2019-10,107799,122272,99852,98067,107208,108290,643487,231185,197702,216457,645345
2019-11,124613,137028,86522,85093,93615,94705,621576,258907,170559,187624,617090
2019-12,93550,106142,84087,86735,103561,102516,576591,200638,171750,209539,581927
2020-01,99463,112111,92150,84952,106218,108526,603420,208835,175423,214365,598624
2020-02,119971,122337,94171,84673,108770,110034,639957,227084,171113,207149,605346
2020-03,109693,112606,76655,83815,103810,105951,592530,217921,159248,206626,583796
2020-04,102179,103780,85550,82780,99859,98796,572944,201576,165045,195311,561933
2020-05,103952,106528,105303,88997,111195,105269,621243,200685,190611,216545,607841
2020-06,111108,115603,111049,100730,120853,114952,674294,226157,206887,236265,669309
2020-07,135399,138265,125668,121896,132684,131219,785130,277892,247441,268134,793467
2020-08,144791,146776,127702,126794,135204,134434,815701,299116,254981,279111,833209
