번호,대여소명,거치대,구,주소,위도,경도,구역,인터넷,CCTV,거치대,구조
65,도안 센트롤시티,15,유성구,봉명동 385-1,36.348769,127.344396,3구역,,2,평면,일자형
66,도안 휴먼시아6단지,11,유성구,상대동 7-1,36.345705,127.340362,3구역,,,평면,일자형
67,도안 한라비발디,15,유성구,상대동 173,36.344908,127.335572,3구역,,,평면,일자형
68,도안 신안인스빌리베라,13,유성구,원신흥동 204-8,36.341868,127.344879,3구역,,1,평면,일자형
69,도안 트리풀시티9단지(504동 맞은편),13,유성구,상대동 72-5,36.342793,127.337476,3구역,,,평면,일자형
70,도안 휴먼시아10단지,14,유성구,원신흥동 183-2,36.338048,127.338356,3구역,,1,평면,십일자형
71,대전지방국세청,12,대덕구,법동 186,36.371474,127.428588,6구역,,1,평면,일자형
72,대전동부경찰서,12,대덕구,법동 212,36.370172,127.429358,6구역,,,평면,일자형
73,대전중앙병원,10,대덕구,법동 285-3,36.367406,127.429736,6구역,,,평면,일자형
74,중리시장,12,대덕구,중리동 370-24,36.366678,127.426067,6구역,,,평면,일자형
75,보람아파트,12,대덕구,법동 202-4,36.366524,127.430356,6구역,,1,평면,일자형
76,선비마을입구,12,대덕구,송촌동 446-3,36.367665,127.436364,6구역,,,평면,일자형
77,선비마을3단지,12,대덕구,송촌동 461-2,36.36836,127.440312,6구역,,,평면,일자형
78,중리동(하나로병원),12,대덕구,중리동 107-8,36.363177,127.431284,6구역,,,평면,일자형
79,수도시설관리사업소,12,대덕구,중리동 118-12,36.362097,127.43554,6구역,,,평면,일자형
80,송촌소방서,12,대덕구,송촌동 539,36.362853,127.438697,6구역,,,평면,일자형
81,동춘당공원,14,대덕구,송촌동 192-2,36.364663,127.440966,6구역,,,평면,일자형
82,선비마을5단지,12,대덕구,송촌동 510,36.366036,127.444872,6구역,,,평면,일자형
83,유평초등학교,12,중구,태평동 254-15,36.330654,127.398255,4구역,,,평면,일자형
84,강남한의원,12,중구,태평2동 2409-21,36.326242,127.392813,4구역,,,평면,일자형
85,태평1동주민센터,12,중구,태평동 331-41,36.326129,127.396967,4구역,,,평면,일자형
86,삼부프라자,12,중구,태평2동 2395-1,36.323268,127.393631,4구역,,,평면,일자형
87,쌍용예가아파트,14,중구,유천동 198-15,36.322555,127.39745,4구역,,,평면,일자형
88,태평초등학교,12,중구,유천동 319-1,36.321427,127.394006,4구역,,,평면,일자형
89,버드내초등학교,12,중구,태평동 422-33,36.31978,127.392413,4구역,,,평면,일자형
90,유등교,12,중구,유천동 338-13,36.316016,127.387403,4구역,,1,평면,일자형
91,버드내네거리,10,중구,유천동 306-18,36.316915,127.392467,4구역,,,평면,일자형
92,서대전농협,12,중구,유천동 308-7,36.3179,127.394698,4구역,,,평면,일자형
